SOURCE_TABLE,SOURCE_COLUMN,DEST_TABLE,DEST_COLUMN,CARDINALITY,EVIDENCE,EVIDENCE_COUNT
HOSPITAL_ENCOUNTERS,ENCOUNTER_ID,V_PATIENT_LOCATION_HISTORY,ENCOUNTER_NUM,,corpus,3
HOSPITAL_ENCOUNTERS,PATIENT_ID,PATIENTS,PATIENT_ID,,corpus,10
IP_SEPSISENCOUNTERS,PATENCENCID,IP_SEPSISENCOUNTERSWLOCATIONS,PATENCENCID,,corpus,1
IP_SEPSISENCOUNTERS,PATENCENCID,IP_SEPSISPATIENTDATES,PATENCENCID,,corpus,1
LAB_ORDER_RESULTS,LRR_BASED_ORGAN_ID,ORGANISMS,ORGANISM_ID,,corpus,3
LAB_ORDER_RESULTS,ORDER_PROC_ID,PROCEDURE_ORDERS,ORDER_PROC_ID,,corpus,28
MEDICATIONS,MEDICATION_ID,MEDICATION_ORDERS,MEDICATION_ID,,corpus,30
MEDICATIONS,MEDICATION_ID,MED_DETAILS_EXT,MEDICATION_ID,,corpus,3
MEDICATIONS,MEDICATION_ID,MED_MIX_COMPONENTS,DRUG_ID,,corpus,5
MEDICATIONS,MEDICATION_ID,MED_MIX_COMPONENTS,MEDICATION_ID,,corpus,3
MEDICATION_ORDERS,ORDER_ID,PROCEDURE_ORDERS,ORDER_PROC_ID,,corpus,1
MEDICATION_ORDERS,ORDER_ID,PROCEDURE_ORDERS_EXT,ORDER_ID,,corpus,4
MEDICATION_ORDERS,ORDER_MED_ID,MED_ADMIN_RECORDS,ORDER_MED_ID,,corpus,30
PATIENTS,ETHNIC_GROUP_CODE,REF_ETHNIC_GROUP,ETHNIC_GROUP_CODE,,corpus,6
PATIENTS,PATIENT_ID,PATIENT_DEMOGRAPHICS_RACE,PATIENT_ID,,corpus,6
PATIENT_DEMOGRAPHICS_RACE,PATIENT_RACE_CODE,REF_PATIENT_RACE,PATIENT_RACE_CODE,,corpus,6
PATIENT_OR_ADM_LINK,LOG_ID,V_OR_CASE_LOG,LOG_ID,,corpus,1
PROCEDURES_CATALOG,PROC_ID,PROCEDURE_ORDERS,PROC_ID,,corpus,8
PROVIDERS,PROV_ID,TREATMENT_TEAMS,PROV_ID,,corpus,8
