screen_date,department,patients_screened,positive_screens,bundle_compliance_pct,avg_minutes_to_screen
2026-06-25,ED Fast Track,25,1,77.8,44
2026-06-25,ED Peds,12,0,89.7,45
2026-06-26,ED Main,30,2,86.7,37
2026-06-26,ED Fast Track,18,1,84.5,36
2026-06-26,ED Peds,10,0,84.0,47
2026-06-27,ED Main,32,3,87.5,43
2026-06-27,ED Fast Track,16,1,81.0,34
2026-06-27,ED Peds,11,1,78.2,43
2026-06-28,ED Main,19,1,93.0,38
2026-06-28,ED Fast Track,17,1,78.0,35
2026-06-28,ED Peds,13,1,85.2,41
2026-06-29,ED Main,32,3,78.6,43
2026-06-29,ED Fast Track,20,1,83.1,39
2026-06-29,ED Peds,15,1,85.2,36
2026-06-30,ED Main,37,3,80.7,34
2026-06-30,ED Fast Track,24,2,88.0,41
2026-06-30,ED Peds,14,1,90.7,38
2026-07-01,ED Main,34,3,89.5,35
2026-07-01,ED Fast Track,19,1,77.6,41
2026-07-01,ED Peds,16,1,84.4,33
2026-07-02,ED Main,48,3,87.4,43
2026-07-02,ED Fast Track,21,1,80.5,47
2026-07-02,ED Peds,12,1,78.6,38
2026-07-03,ED Main,35,3,84.1,40
2026-07-03,ED Fast Track,24,2,86.2,47
2026-07-03,ED Peds,11,0,87.2,32
2026-07-04,ED Main,20,1,88.2,45
2026-07-04,ED Fast Track,13,1,91.1,39
2026-07-04,ED Peds,9,0,92.2,37
2026-07-05,ED Main,31,3,85.2,45
2026-07-05,ED Fast Track,15,1,88.6,38
2026-07-05,ED Peds,11,0,83.8,36
2026-07-06,ED Main,35,3,81.5,42
2026-07-06,ED Fast Track,18,1,95.3,41
2026-07-06,ED Peds,11,0,91.3,35
2026-07-07,ED Main,39,3,85.7,36
2026-07-07,ED Fast Track,24,2,95.5,39
2026-07-07,ED Peds,11,0,81.2,52
2026-07-08,ED Main,43,3,85.2,43
2026-07-08,ED Fast Track,23,1,83.1,37
2026-07-08,ED Peds,12,0,92.0,40
2026-07-09,ED Main,34,2,86.2,46
2026-07-09,ED Fast Track,26,2,87.5,31
2026-07-09,ED Peds,10,0,91.2,29
2026-07-10,ED Main,41,2,86.5,29
2026-07-10,ED Fast Track,22,1,77.6,39
2026-07-10,ED Peds,14,0,87.1,34
2026-07-11,ED Main,39,2,80.9,36
2026-07-11,ED Fast Track,12,1,85.7,43
2026-07-11,ED Peds,9,0,87.4,43
2026-07-12,ED Main,31,2,87.1,53
2026-07-12,ED Fast Track,14,0,85.3,41
2026-07-12,ED Peds,8,0,88.5,45
2026-07-13,ED Main,34,2,80.5,42
2026-07-13,ED Fast Track,22,1,80.6,40
2026-07-13,ED Peds,9,0,93.9,34
2026-07-14,ED Main,41,4,88.9,43
2026-07-14,ED Fast Track,20,2,83.8,33
2026-07-14,ED Peds,14,1,90.2,40
2026-07-15,ED Main,36,2,89.8,44
2026-07-15,ED Fast Track,19,1,90.5,40
2026-07-15,ED Peds,11,0,86.7,36
2026-07-16,ED Main,30,1,93.2,41
2026-07-16,ED Fast Track,20,1,82.4,41
2026-07-16,ED Peds,17,1,86.1,39
2026-07-17,ED Main,34,3,87.0,33
2026-07-17,ED Fast Track,22,1,89.2,42
2026-07-17,ED Peds,16,1,87.9,44
2026-07-18,ED Main,41,3,92.0,32
2026-07-18,ED Fast Track,17,1,90.6,37
2026-07-18,ED Peds,11,0,94.8,31
2026-07-19,ED Main,30,2,97.4,38
2026-07-19,ED Fast Track,18,1,93.0,36
2026-07-19,ED Peds,11,0,93.0,41
2026-07-20,ED Main,24,1,92.7,30
2026-07-20,ED Fast Track,21,1,85.5,34
2026-07-20,ED Peds,17,1,96.0,31
2026-07-21,ED Main,47,3,89.4,33
2026-07-21,ED Fast Track,20,1,96.2,37
2026-07-21,ED Peds,14,1,87.9,40
2026-07-22,ED Main,47,3,93.2,36
2026-07-22,ED Fast Track,22,1,86.0,41
2026-07-22,ED Peds,13,1,89.2,42
2026-07-23,ED Main,46,2,86.5,46
2026-07-23,ED Fast Track,27,2,82.5,42
2026-07-23,ED Peds,11,0,88.5,40
2026-07-24,ED Main,43,2,88.9,39
2026-07-24,ED Fast Track,17,1,97.4,30
2026-07-24,ED Peds,12,1,81.7,32
2026-07-25,ED Main,29,2,96.2,32
2026-07-25,ED Fast Track,14,0,89.5,42
2026-07-25,ED Peds,9,0,83.5,49
2026-07-26,ED Main,23,1,94.0,38
2026-07-26,ED Fast Track,14,1,94.1,32
2026-07-26,ED Peds,7,0,97.0,30
2026-07-27,ED Main,38,3,85.9,44
2026-07-27,ED Fast Track,17,1,89.9,39
2026-07-27,ED Peds,9,0,85.2,39
2026-07-28,ED Main,40,2,96.8,44
2026-07-28,ED Fast Track,17,1,90.5,34
2026-07-28,ED Peds,17,1,83.5,38
2026-07-29,ED Main,45,2,88.1,36
2026-07-29,ED Fast Track,23,1,92.8,43
2026-07-29,ED Peds,11,0,88.9,46
2026-07-30,ED Main,38,2,97.1,44
2026-07-30,ED Fast Track,21,1,87.1,39
2026-07-30,ED Peds,14,1,91.1,31
2026-07-31,ED Main,50,4,94.0,35
2026-07-31,ED Fast Track,27,1,83.0,42
2026-07-31,ED Peds,13,1,91.6,24
2026-08-01,ED Main,41,3,92.7,31
2026-08-01,ED Fast Track,17,1,80.9,26
2026-08-01,ED Peds,12,1,83.6,30
2026-08-02,ED Main,28,2,84.1,43
2026-08-02,ED Fast Track,19,1,94.4,37
2026-08-02,ED Peds,11,0,83.2,31
2026-08-03,ED Main,34,3,82.8,46
2026-08-03,ED Fast Track,18,1,94.0,35
2026-08-03,ED Peds,10,0,88.2,42
2026-08-04,ED Main,38,3,95.0,24
2026-08-04,ED Fast Track,22,1,92.9,44
2026-08-04,ED Peds,15,1,85.9,33
2026-08-05,ED Main,36,3,88.7,35
2026-08-05,ED Fast Track,23,2,96.1,44
2026-08-05,ED Peds,12,1,93.4,38
2026-08-06,ED Main,37,2,84.0,32
2026-08-06,ED Fast Track,16,1,87.8,40
2026-08-06,ED Peds,13,1,85.6,44
2026-08-07,ED Main,32,2,89.4,35
2026-08-07,ED Fast Track,24,2,88.9,28
2026-08-07,ED Peds,11,0,92.5,50
2026-08-08,ED Main,25,2,91.8,41
2026-08-08,ED Fast Track,19,1,80.7,28
2026-08-08,ED Peds,9,0,89.8,33
