fk_num,ordinal,src_schema,src_table,src_column,dest_schema,dest_table,dest_column
19,1,dbo,ENCOUNTER_DIAGNOSIS,ENCOUNTER_ID,dbo,ENCOUNTERS,ENCOUNTER_ID
20,1,dbo,ENCOUNTER_DIAGNOSIS,PATIENT_ID,dbo,PATIENTS,PATIENT_ID
21,1,dbo,ENCOUNTER_DIAGNOSIS,PATIENT_ID,dbo,PATIENT_PCP_ASSIGNMENT,PATIENT_ID
22,1,dbo,ENCOUNTER_DIAGNOSIS,PATIENT_ID,dbo,DM_REGISTRY,PATIENT_ID
23,1,dbo,ENCOUNTER_DIAGNOSIS,DX_CODE,dbo,DIAGNOSIS_CODESET,DX_CODE
24,1,dbo,HOSPITAL_ENCOUNTERS,PATIENT_ID,dbo,PATIENTS,PATIENT_ID
25,1,dbo,HOSPITAL_ENCOUNTERS,PATIENT_ID,dbo,PATIENT_PCP_ASSIGNMENT,PATIENT_ID
26,1,dbo,HOSPITAL_ENCOUNTERS,PATIENT_ID,dbo,DM_REGISTRY,PATIENT_ID
27,1,dbo,HOSPITAL_DIAGNOSIS,HOSP_ENC_ID,dbo,HOSPITAL_ENCOUNTERS,HOSP_ENC_ID
28,1,dbo,HOSPITAL_DIAGNOSIS,PATIENT_ID,dbo,PATIENTS,PATIENT_ID
29,1,dbo,HOSPITAL_DIAGNOSIS,PATIENT_ID,dbo,PATIENT_PCP_ASSIGNMENT,PATIENT_ID
30,1,dbo,HOSPITAL_DIAGNOSIS,PATIENT_ID,dbo,DM_REGISTRY,PATIENT_ID
31,1,dbo,HOSPITAL_DIAGNOSIS,DX_CODE,dbo,DIAGNOSIS_CODESET,DX_CODE
32,1,dbo,LAB_ORDERS,HOSP_ENC_ID,dbo,HOSPITAL_ENCOUNTERS,HOSP_ENC_ID
33,1,dbo,LAB_ORDERS,PATIENT_ID,dbo,PATIENTS,PATIENT_ID
34,1,dbo,LAB_ORDERS,PATIENT_ID,dbo,PATIENT_PCP_ASSIGNMENT,PATIENT_ID
35,1,dbo,LAB_ORDERS,PATIENT_ID,dbo,DM_REGISTRY,PATIENT_ID
36,1,dbo,PROFESSIONAL_BILLING,PATIENT_ID,dbo,PATIENTS,PATIENT_ID
37,1,dbo,PROFESSIONAL_BILLING,PATIENT_ID,dbo,PATIENT_PCP_ASSIGNMENT,PATIENT_ID
38,1,dbo,PROFESSIONAL_BILLING,PATIENT_ID,dbo,DM_REGISTRY,PATIENT_ID
39,1,dbo,PROFESSIONAL_BILLING,CPT_ROW_ID,dbo,CPT_CODES,CPT_ROW_ID
40,1,dbo,CPT_CODES,CPT_CODE,dbo,CPT_CODESET,CPT_CODE
41,1,dbo,CPT_CODES,PATIENT_ID,dbo,PATIENTS,PATIENT_ID
42,1,dbo,CPT_CODES,PATIENT_ID,dbo,PATIENT_PCP_ASSIGNMENT,PATIENT_ID
43,1,dbo,CPT_CODES,PATIENT_ID,dbo,DM_REGISTRY,PATIENT_ID
44,1,dbo,OR_CASES,PATIENT_ID,dbo,PATIENTS,PATIENT_ID
45,1,dbo,OR_CASES,PATIENT_ID,dbo,PATIENT_PCP_ASSIGNMENT,PATIENT_ID
46,1,dbo,OR_CASES,PATIENT_ID,dbo,DM_REGISTRY,PATIENT_ID
47,1,dbo,PROCEDURE_ORDERS,CASE_ID,dbo,OR_CASES,CASE_ID
48,1,dbo,PROCEDURE_ORDERS,PATIENT_ID,dbo,PATIENTS,PATIENT_ID
49,1,dbo,PROCEDURE_ORDERS,PATIENT_ID,dbo,PATIENT_PCP_ASSIGNMENT,PATIENT_ID
50,1,dbo,PROCEDURE_ORDERS,PATIENT_ID,dbo,DM_REGISTRY,PATIENT_ID
51,1,dbo,PROCEDURE_ORDERS,PROC_CODE,dbo,PROC_CODESET,PROC_CODE
52,1,dbo,APPOINTMENTS,PATIENT_ID,dbo,PATIENTS,PATIENT_ID
53,1,dbo,APPOINTMENTS,PATIENT_ID,dbo,PATIENT_PCP_ASSIGNMENT,PATIENT_ID
54,1,dbo,APPOINTMENTS,PATIENT_ID,dbo,DM_REGISTRY,PATIENT_ID
55,1,dbo,PATIENT_PCP_ASSIGNMENT,PATIENT_ID,dbo,PATIENTS,PATIENT_ID
56,1,dbo,PATIENT_PCP_ASSIGNMENT,PATIENT_ID,dbo,DM_REGISTRY,PATIENT_ID
57,1,dbo,DM_REGISTRY,PATIENT_ID,dbo,PATIENTS,PATIENT_ID
58,1,dbo,DM_REGISTRY,PATIENT_ID,dbo,PATIENT_PCP_ASSIGNMENT,PATIENT_ID
59,1,dbo,DIAGNOSIS_CODES,ICD_CODE,dbo,DIAGNOSIS_CODESET,DX_CODE
