table,note
emr|dbo|LOCATIONS,description carries no grain declaration
emr|dbo|MEDICATIONS,description carries no grain declaration
emr|dbo|MEDICATION_ORDERS,description carries no grain declaration
emr|dbo|MEDICATION_ORDERS_EXT,description carries no grain declaration
emr|dbo|MED_ADMIN_RECORDS,description carries no grain declaration
emr|dbo|MED_DETAILS_EXT,description carries no grain declaration
emr|dbo|MED_MIX_COMPONENTS,description carries no grain declaration
emr|reports|NON_SEVERE_SEPSIS_STAGING,description carries no grain declaration
emr|dbo|NOTE_ENCOUNTER_INFO,description carries no grain declaration
emr|dbo|NOTE_TEMPLATE_LIST_IDS,description carries no grain declaration
emr|dbo|NOTE_TEMPLATE_TEXT_IDS,description carries no grain declaration
emr|dbo|ORDER_DISPENSE_INFO,description carries no grain declaration
emr|dbo|ORDER_TRACKING_METRICS,description carries no grain declaration
emr|dbo|ORGANISMS,description carries no grain declaration
emr|dbo|PATIENTS,description carries no grain declaration
emr|dbo|PATIENT_DEMOGRAPHICS_RACE,description carries no grain declaration
emr|dbo|PATIENT_ENCOUNTERS,description carries no grain declaration
emr|dbo|PROCEDURES_CATALOG,description carries no grain declaration
emr|dbo|PROCEDURE_ORDERS,description carries no grain declaration
emr|dbo|PROCEDURE_ORDERS_EXT,description carries no grain declaration
emr|dbo|PROVIDERS,description carries no grain declaration
emr|dbo|REF_ALERT_ACTIONS,description carries no grain declaration
emr|dbo|REF_ALERT_OVERRIDE_REASONS,description carries no grain declaration
emr|dbo|REF_ALERT_STATUS,description carries no grain declaration
emr|dbo|REF_DISCHARGE_DISPOSITION,description carries no grain declaration
emr|dbo|REF_ED_DISPOSITION,description carries no grain declaration
emr|dbo|REF_ETHNIC_GROUP,description carries no grain declaration
emr|dbo|REF_GENERIC_MED,description carries no grain declaration
emr|dbo|REF_PATIENT_CLASS,description carries no grain declaration
emr|dbo|REF_PATIENT_RACE,description carries no grain declaration
emr|dbo|REF_SEX,description carries no grain declaration
emr|dbo|REF_SHOWN_PLACE,description carries no grain declaration
emr|dbo|RX_VERIFY_TRACE,description carries no grain declaration
emr|reports|SEVERE_SEPSIS_STAGING,description carries no grain declaration
emr|dbo|TREATMENT_TEAMS,description carries no grain declaration
emr|dbo|VISIT_REASONS,description carries no grain declaration
emr|dbo|V_HOSPITAL_TRANSACTIONS,description carries no grain declaration
emr|dbo|V_PATIENT_ENCOUNTERS,description carries no grain declaration
emr|dbo|V_PATIENT_LOCATION_HISTORY,description carries no grain declaration
emr|dbo|V_PHARMACY_DISPENSE,description carries no grain declaration
emr|dbo|V_PHARMACY_DISPENSE_ACTION,description carries no grain declaration
emr|dbo|V_PHARMACY_ORDER,description carries no grain declaration
emr|dbo|CLINICAL_NOTE_TEXT,description carries no grain declaration
emr|dbo|DIAGNOSES_CURRENT_ICD10,description carries no grain declaration
emr|dbo|HOSPITAL_ACCT_PX_LIST,description carries no grain declaration
emr|dbo|ICD_PROCEDURE_CODES,description carries no grain declaration
emr|dbo|PATIENT_OR_ADM_LINK,description carries no grain declaration
emr|dbo|V_OR_CASE_LOG,description carries no grain declaration
emr|dbo|ICU_STAY_SUMMARY,description carries no grain declaration
