Head,Head Full Name,Relation,Tail,Tail Asset Type,Provenance
Diabetic Patients (Missed PCP Appointments),reporting.USP_Panel_NoShows,source table [reads],DBO.APPOINTMENTS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (Missed PCP Appointments),reporting.USP_Panel_NoShows,source table [reads],DBO.DIAGNOSIS_CODESET,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (Missed PCP Appointments),reporting.USP_Panel_NoShows,source table [reads],DBO.ENCOUNTERS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Patients (Missed PCP Appointments),reporting.USP_Panel_NoShows,source table [reads],DBO.ENCOUNTER_DIAGNOSIS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Panel Refresh (Multi-Statement),reporting.USP_Panel_Refresh,source table [reads],DBO.MEDICATION_ORDERS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Panel Rollup (Recursive),reporting.USP_Panel_Rollup,source table [reads],DBO.PATIENTS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
PHI Literal Probe,reporting.USP_Phi_Probe,source table [reads],DBO.PATIENTS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Pre-Op Abnormal Diabetes Labs,reporting.USP_PreOp_Abnormal_Labs,source table [reads],DBO.LAB_RESULTS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Pre-Op Abnormal Diabetes Labs,reporting.USP_PreOp_Abnormal_Labs,source table [reads],DBO.OR_CASES,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Reference Forms Probe,reporting.USP_Ref_Forms_Probe,source table [reads],DBO.DIAGNOSIS_CODES,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Reference Forms Probe,reporting.USP_Ref_Forms_Probe,source table [reads],DBO.ENCOUNTERS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Reference Forms Probe,reporting.USP_Ref_Forms_Probe,source table [reads],DBO.LAB_RESULTS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Reference Forms Probe,reporting.USP_Ref_Forms_Probe,source table [reads],DBO.PATIENTS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Active Diabetic Patients,reports.USP_Active_Diabetics,source table [reads],DBO.MEDICATION_ORDERS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Diabetic Codeset,reports.USP_Diabetic_CodesetB,source table [reads],DBO.ENCOUNTER_DIAGNOSIS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
Enrollment Snapshot,reports.USP_Enrollment_Snapshot,source table [reads],DBO.DIAGNOSIS_CODES,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
High ED Utilizers,reports.USP_High_ED_Utilizers,source table [reads],DBO.HOSPITAL_ENCOUNTERS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
No-Show Panel,reports.USP_No_Show_Panel,source table [reads],DBO.APPOINTMENTS,Table,"parsed by SQL Intelligence Agent, approved by sunny (pre-upload review)"
