schema,table,column,description
reporting,IP_SepsisEncounters,EthnicGroup,The ethnic group recorded for inpatient sepsis encounters that include demographic information.
reporting,IP_SepsisEncounters,HospAdmsnTime,"The date and time when the patient was initially admitted to the facility, placed in a bed in the ED, or confirmed for an HOV during this contact, irrespective of the patient's base patient class."
reporting,IP_SepsisEncounters,HospDischTime,The date and time of discharge from the hospital for this patient contact.
reporting,IP_SepsisEncounters,INPATIENT_DATA_ID,"The column INPATIENT_DATA_ID in table CLINICAL_NOTES is deprecated and has been replaced by the column INPATIENT_DATA_ID in table PATIENT_ENCOUNTERS. To retrieve the value of the deprecated column after the EMR system upgrade, join CLINICAL_NOTES.ENCOUNTER_ID with PATIENT_ENCOUNTERS.ENCOUNTER_ID to obtain the INPATIENT_DATA_ID value."
reporting,IP_SepsisEncounters,InDepartmentTime,The in department time recorded for inpatient sepsis encounters that include demographic information.
reporting,IP_SepsisEncounters,InpAdmDate,The date-time of the inpatient admission indicates when the patient first received a base patient class of inpatient during their hospital stay. This may differ from the admission date if the patient was initially assigned an emergency or outpatient base patient class.
reporting,IP_SepsisEncounters,InpatientDataID,"The column INPATIENT_DATA_ID in table CLINICAL_NOTES is deprecated and has been replaced by the column INPATIENT_DATA_ID in table PATIENT_ENCOUNTERS. To retrieve the value of the deprecated column after the EMR system upgrade, join CLINICAL_NOTES.ENCOUNTER_ID with PATIENT_ENCOUNTERS.ENCOUNTER_ID to obtain the INPATIENT_DATA_ID value."
reporting,IP_SepsisEncounters,Location,The location recorded for inpatient sepsis encounters that include demographic information.
reporting,IP_SepsisEncounters,LosHours,The los hours recorded for inpatient sepsis encounters that include demographic information.
reporting,IP_SepsisEncounters,OutDepartmentTime,The out department time recorded for inpatient sepsis encounters that include demographic information.
reporting,IP_SepsisEncounters,PATENCENCID,The p a t e n c e n c i d recorded for inpatient sepsis encounters that include demographic information.
reporting,IP_SepsisEncounters,PATIENTMRN,"*** Deprecated *** This column is no longer in use because high patient volumes may lead to EMR database timeouts. Use HOSPITAL_ACCT_PATIENT_MRN.PATIENT_MRN instead. It represents the patient's medical record number for the location linked to this hospital account. If the account's location is undefined or lacks an ID type, the system will search up the facility structure to locate the most relevant MRN."
reporting,IP_SepsisEncounters,PatientID,The ID of the patient associated with the event record at the specified effective time.
reporting,IP_SepsisEncounters,PatientName,The name of the patient associated with the hospital account at the time of discharge.
reporting,IP_SepsisEncounters,Race,The race recorded for inpatient sepsis encounters that include demographic information.
reporting,IP_SepsisEncounters,RefreshDate,The refresh date recorded for inpatient sepsis encounters that include demographic information.
reporting,IP_SepsisEncounters,UniqueRow,The unique row recorded for inpatient sepsis encounters that include demographic information.
reporting,IP_SepsisEncountersWLocations,ADTArrivalTime,The date and time when this patient contact occurred.
reporting,IP_SepsisEncountersWLocations,ADTDepartmentID,The ID number representing the department associated with the event record at the time it is effective.
reporting,IP_SepsisEncountersWLocations,ADTDepartmentName,The name associated with the department.
reporting,IP_SepsisEncountersWLocations,ADT_ARRIVAL_TIME,The date and time when this patient contact occurred.
reporting,IP_SepsisEncountersWLocations,ADT_DEPARTMENT_ID,The ID number representing the department associated with the event record at the time it is effective.
reporting,IP_SepsisEncountersWLocations,ADT_DEPARTMENT_NAME,The name associated with the department.
reporting,IP_SepsisEncountersWLocations,AGE_MONTHS,The a g e m o n t h s recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,AGE_YEARS,The a g e y e a r s recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,AgeMonths,The age months recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,AgeYears,The age years recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,AllEncDx,The all enc dx recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,AllEncReasons,The all enc reasons recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,BIRTH_DATE,The date of the patient's birth.
reporting,IP_SepsisEncountersWLocations,BirthDate,The date of the patient's birth.
reporting,IP_SepsisEncountersWLocations,DEPARTMENT_ROLLUP,The d e p a r t m e n t r o l l u p recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,DepartmentRollup,The department rollup recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,Disposition,The disposition recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,EDDepartureTime,The timestamp indicating when the patient exited the ED.
reporting,IP_SepsisEncountersWLocations,ED_DEPARTURE_TIME,The timestamp indicating when the patient exited the ED.
reporting,IP_SepsisEncountersWLocations,ENCORDER,The e n c o r d e r recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,ENCOUNTER_ID,"The unique identifier for this contact's encounter. This number is distinct for all patient encounters within the system. If IntraConnect is utilized, this corresponds to the Unique Contact Identifier."
reporting,IP_SepsisEncountersWLocations,ENC_ID,The e n c i d recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,Ethnic,The ethnic recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,EthnicGroup,The ethnic group recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,HOSP_ADMSN_TIME,"The date and time when the patient was initially admitted to the facility, placed in a bed in the ED, or confirmed for an HOV during this contact, irrespective of the patient's base patient class."
reporting,IP_SepsisEncountersWLocations,HOSP_DISCH_TIME,The date and time of discharge from the hospital for this patient contact.
reporting,IP_SepsisEncountersWLocations,HospAdmsnTime,"The date and time when the patient was initially admitted to the facility, placed in a bed in the ED, or confirmed for an HOV during this contact, irrespective of the patient's base patient class."
reporting,IP_SepsisEncountersWLocations,HospDischTime,The date and time of discharge from the hospital for this patient contact.
reporting,IP_SepsisEncountersWLocations,INPATIENT_DATA_ID,"The column INPATIENT_DATA_ID in table CLINICAL_NOTES is deprecated and has been replaced by the column INPATIENT_DATA_ID in table PATIENT_ENCOUNTERS. To retrieve the value of the deprecated column after the EMR system upgrade, join CLINICAL_NOTES.ENCOUNTER_ID with PATIENT_ENCOUNTERS.ENCOUNTER_ID to obtain the INPATIENT_DATA_ID value."
reporting,IP_SepsisEncountersWLocations,INP_ADM_DATE,The date-time of the inpatient admission indicates when the patient first received a base patient class of inpatient during their hospital stay. This may differ from the admission date if the patient was initially assigned an emergency or outpatient base patient class.
reporting,IP_SepsisEncountersWLocations,In,The in recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,InDepartmentTime,The in department time recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,In_DTTM,The moment the patient was transferred to the department/room/bed.
reporting,IP_SepsisEncountersWLocations,InpAdmDate,The date-time of the inpatient admission indicates when the patient first received a base patient class of inpatient during their hospital stay. This may differ from the admission date if the patient was initially assigned an emergency or outpatient base patient class.
reporting,IP_SepsisEncountersWLocations,InpatientDataID,"The column INPATIENT_DATA_ID in table CLINICAL_NOTES is deprecated and has been replaced by the column INPATIENT_DATA_ID in table PATIENT_ENCOUNTERS. To retrieve the value of the deprecated column after the EMR system upgrade, join CLINICAL_NOTES.ENCOUNTER_ID with PATIENT_ENCOUNTERS.ENCOUNTER_ID to obtain the INPATIENT_DATA_ID value."
reporting,IP_SepsisEncountersWLocations,LOCATION_ABBR,The short name of the location.
reporting,IP_SepsisEncountersWLocations,LOC_ID,The LOCATION stored in the HOSPITAL_ACCOUNT is recorded only when HOSPITAL_ACCOUNT_IDs are assigned based on location rather than service area.
reporting,IP_SepsisEncountersWLocations,LOC_NAME,The designation of the revenue location.
reporting,IP_SepsisEncountersWLocations,LOS_HRS,The l o s h r s recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,Location,The location recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,LosHours,The los hours recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,Out,The out recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,OutDepartmentTime,The out department time recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,Out_DTTM,"The column PATIENT_OUT_DTTM indicates the moment the patient was transferred out of the department/room/bed. If the patient remains in the department/room/bed, this column will not provide a value."
reporting,IP_SepsisEncountersWLocations,PATENCENCID,The p a t e n c e n c i d recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,PATIENTMRN,"*** Deprecated *** This column is no longer in use because high patient volumes may lead to EMR database timeouts. Use HOSPITAL_ACCT_PATIENT_MRN.PATIENT_MRN instead. It represents the patient's medical record number for the location linked to this hospital account. If the account's location is undefined or lacks an ID type, the system will search up the facility structure to locate the most relevant MRN."
reporting,IP_SepsisEncountersWLocations,PATIENT_ID,The ID of the patient associated with the event record at the specified effective time.
reporting,IP_SepsisEncountersWLocations,PATIENT_MRN,"*** Deprecated *** This column is no longer in use because high patient volumes may lead to EMR database timeouts. Use HOSPITAL_ACCT_PATIENT_MRN.PATIENT_MRN instead. It represents the patient's medical record number for the location linked to this hospital account. If the account's location is undefined or lacks an ID type, the system will search up the facility structure to locate the most relevant MRN."
reporting,IP_SepsisEncountersWLocations,PATIENT_NAME,The name of the patient associated with the hospital account at the time of discharge.
reporting,IP_SepsisEncountersWLocations,POS_TYPE,"The category title for the type of service location, such as Office, Inpatient Hospital, or Emergency Room. This column will be removed in a future release and replaced by the column POS_TYPE_CODE in LOCATIONS."
reporting,IP_SepsisEncountersWLocations,PatientID,The ID of the patient associated with the event record at the specified effective time.
reporting,IP_SepsisEncountersWLocations,PatientName,The name of the patient associated with the hospital account at the time of discharge.
reporting,IP_SepsisEncountersWLocations,Race,The race recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,RefreshDate,The refresh date recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,Sepsis,The sepsis recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,Service,The service recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,Shift,The shift recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,Unique,The unique recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,UniqueRow,The unique row recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisEncountersWLocations,Unit,The unit recorded for sepsis encounters that include ADT location history.
reporting,IP_SepsisPatientDates,ADTDepartmentID,The ID number representing the department associated with the event record at the time it is effective.
reporting,IP_SepsisPatientDates,ADTDepartmentName,The name associated with the department.
reporting,IP_SepsisPatientDates,AgeOnDateMonths,The age on date months recorded for sepsis patient encounters that includes aggregated department information for the purposes of trend analysis and compliance reporting.
reporting,IP_SepsisPatientDates,AgeOnDateYears,The age on date years recorded for sepsis patient encounters that includes aggregated department information for the purposes of trend analysis and compliance reporting.
reporting,IP_SepsisPatientDates,DepartmentRollup,The department rollup recorded for sepsis patient encounters that includes aggregated department information for the purposes of trend analysis and compliance reporting.
reporting,IP_SepsisPatientDates,ENCORDER,The e n c o r d e r recorded for sepsis patient encounters that includes aggregated department information for the purposes of trend analysis and compliance reporting.
reporting,IP_SepsisPatientDates,ENCOVERALLORDER,The e n c o v e r a l l o r d e r recorded for sepsis patient encounters that includes aggregated department information for the purposes of trend analysis and compliance reporting.
reporting,IP_SepsisPatientDates,InDepartmentTime,The in department time recorded for sepsis patient encounters that includes aggregated department information for the purposes of trend analysis and compliance reporting.
reporting,IP_SepsisPatientDates,InpatientDataID,"The column INPATIENT_DATA_ID in table CLINICAL_NOTES is deprecated and has been replaced by the column INPATIENT_DATA_ID in table PATIENT_ENCOUNTERS. To retrieve the value of the deprecated column after the EMR system upgrade, join CLINICAL_NOTES.ENCOUNTER_ID with PATIENT_ENCOUNTERS.ENCOUNTER_ID to obtain the INPATIENT_DATA_ID value."
reporting,IP_SepsisPatientDates,OutDepartmentTime,The out department time recorded for sepsis patient encounters that includes aggregated department information for the purposes of trend analysis and compliance reporting.
reporting,IP_SepsisPatientDates,PATENCENCID,The p a t e n c e n c i d recorded for sepsis patient encounters that includes aggregated department information for the purposes of trend analysis and compliance reporting.
reporting,IP_SepsisPatientDates,PatientID,The ID of the patient associated with the event record at the specified effective time.
reporting,IP_SepsisPatientDates,RefreshDate,The refresh date recorded for sepsis patient encounters that includes aggregated department information for the purposes of trend analysis and compliance reporting.
reporting,IP_SepsisPatientDates,SepsisPatientDate,The sepsis patient date recorded for sepsis patient encounters that includes aggregated department information for the purposes of trend analysis and compliance reporting.
reporting,IP_SepsisPatientDates,UniqueRow,The unique row recorded for sepsis patient encounters that includes aggregated department information for the purposes of trend analysis and compliance reporting.
reporting,IP_SepsisPatientDates,UnitOrder,The unit order recorded for sepsis patient encounters that includes aggregated department information for the purposes of trend analysis and compliance reporting.
reporting,IP_SepsisScreeningAudit,AddOrdersReceivedPlacedByMDPNP,The add orders received placed by m d p n p recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,AlertActivatedComment,The alert activated comment recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,AlertNotActivatedComment,The alert not activated comment recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,AlertNotActivatedReason,The alert not activated reason recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,BP,The b p recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,BPBoysPercentile,The b p boys percentile recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,BPGirlsPercentile,The b p girls percentile recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,CapillaryRefill,The capillary refill recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,CirculatoryDysfunction,The circulatory dysfunction recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,ExternalCreatinine,The external creatinine recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,ExternalLactateResult,The external lactate result recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,ExternalPlatelets,The external platelets recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,FifteenthOrEOM,The fifteenth or e o m recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,HematologicDysfunction,The hematologic dysfunction recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,HuddleDate,The huddle date recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,HuddleTime,The huddle time recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,InfectiousSymptoms,The infectious symptoms recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,LBrachialPulse,The l brachial pulse recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,LPedalPulse,The l pedal pulse recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,LPosteriorTibialPulse,The l posterior tibial pulse recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,LRadialPulse,The l radial pulse recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,NeurologicalDysfunction,The neurological dysfunction recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,NoteAuthor,The note author recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,NoteCreatedTime,The note created time recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,Notification,The notification recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,ODScore,The o d score recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,ODScoreIs2,The o d score is2 recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,PATENCENCID,The p a t e n c e n c i d recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,PatientAssessedByMDPNP,The patient assessed by m d p n p recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,PerfusionWDL,The perfusion w d l recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,PhysicianName,The physician name recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,PosODScore,The pos o d score recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,Predisposition,The predisposition recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,Pulse,The PULSE measurement of the patient recorded during this encounter.
reporting,IP_SepsisScreeningAudit,RBrachialPulse,The r brachial pulse recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,RPedalPulse,The r pedal pulse recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,RPosteriorTibialPulse,The r posterior tibial pulse recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,RRadialPulse,The r radial pulse recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,RefreshDate,The refresh date recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,RenalDysfunction,The renal dysfunction recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,Resp,The resp recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,RespiratoryDysfunction,The respiratory dysfunction recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,ScoreDate,The score date recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,ScoreTime,The score time recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,SepsisPatientHuddleorAlertWithMDPNP,The sepsis patient huddleor alert with m d p n p recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,ShiftColorDisplay,The shift color display recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,SkinColor,The skin color recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,SkinConditionTemp,The skin condition temp recorded for sepsis screening activities.
reporting,IP_SepsisScreeningAudit,UniqueRow,The unique row recorded for sepsis screening activities.
reporting,IP_SepsisShiftCompliance,AMDenom,The a m denom recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,AlertActivatedComment,The alert activated comment recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,AlertNotActivatedComment,The alert not activated comment recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,AlertNotActivatedReason,The alert not activated reason recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,Denominator,The denominator recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,ENCORDER,The e n c o r d e r recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,ENCOVERALLORDER,The e n c o v e r a l l o r d e r recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,FY,The f y recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,FYDate,The f y date recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,FYMonthName,The f y month name recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,FYMonthNumber,The numerical representation of the month within the fiscal year.
reporting,IP_SepsisShiftCompliance,FYMonthShortName,The f y month short name recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,FYYear,The f y year recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,FifteenthOrEOM,The fifteenth or e o m recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,NoteAuthor,The note author recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,NoteCreatedTime,The note created time recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,ODScore,The o d score recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,PATENCENCID,The p a t e n c e n c i d recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,PMDenom,The p m denom recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,PositiveODScore,The positive o d score recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,RefreshDate,The refresh date recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,ScoreTime,The score time recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,Shift1Color,The shift1 color recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,Shift1Compliance,The shift1 compliance recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,Shift1ComplianceYN,The shift1 compliance y n recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,Shift1NonCompliance,The shift1 non compliance recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,Shift2Color,The shift2 color recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,Shift2Compliance,The shift2 compliance recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,Shift2ComplianceYN,The shift2 compliance y n recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,Shift2NonCompliance,The shift2 non compliance recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,ShiftAMPM,The shift a m p m recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,ShiftCNs,The shift c ns recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,ShiftColor,The shift color recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,ShiftColorDisplay,The shift color display recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,ShiftCompliance,The shift compliance recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,ShiftComplianceFlag,The shift compliance flag recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,ShiftDate,The shift date recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,ShiftEnd,The shift end recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,ShiftNonCompliance,The shift non compliance recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,ShiftRNs,The shift r ns recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,ShiftStart,The shift start recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,UniqueRow,The unique row recorded for sepsis screening compliance at the shift level.
reporting,IP_SepsisShiftCompliance,UnitOrder,The unit order recorded for sepsis screening compliance at the shift level.
reporting,IP_SEPSIS,ABXYN,The a b x y n recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,AMDenom,The a m denom recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,AddOrdersReceivedPlacedByMDPNP,The add orders received placed by m d p n p recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,AgeMonths,The age months recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,AgeYears,The age years recorded for inpatient sepsis screening results.
reporting,IP_SEPSIS,AlertActivatedComment,The alert activated comment recorded for inpatient sepsis screening results.
